1	-94	-1920
1	-30	-1920
1	34	-1920
1	98	-1920
1	162	-1920
1	226	-1920
1	290	-1920
1	354	-1920
1	418	-1920
1	482	-1920
1	546	-1920
1	610	-1920
1	674	-1920
1	738	-1920
1	802	-1920
1	866	-1920
1	930	-1920
1	994	-1920
1	1058	-1920
1	1122	-1920
1	1186	-1920
1	1250	-1920
1	1314	-1920
1	-94	-1856
1	-30	-1856
1	34	-1856
1	98	-1856
1	162	-1856
1	226	-1856
1	290	-1856
1	354	-1856
1	418	-1856
1	482	-1856
1	546	-1856
1	610	-1856
1	674	-1856
1	738	-1856
1	802	-1856
1	866	-1856
1	930	-1856
1	994	-1856
1	1058	-1856
1	1122	-1856
1	1186	-1856
1	1250	-1856
1	1314	-1856
1	-94	-1792
1	-30	-1792
1	34	-1792
1	98	-1792
1	162	-1792
1	226	-1792
1	290	-1792
1	354	-1792
1	418	-1792
1	482	-1792
1	546	-1792
1	610	-1792
1	674	-1792
1	738	-1792
1	802	-1792
1	866	-1792
1	930	-1792
1	994	-1792
1	1058	-1792
1	1122	-1792
1	1186	-1792
1	1250	-1792
1	1314	-1792
1	-94	-1728
1	-30	-1728
1	34	-1728
1	98	-1728
1	162	-1728
1	226	-1728
1	290	-1728
1	354	-1728
1	418	-1728
1	482	-1728
1	546	-1728
1	610	-1728
1	674	-1728
1	738	-1728
1	802	-1728
1	866	-1728
1	930	-1728
1	994	-1728
1	1058	-1728
1	1122	-1728
1	1186	-1728
1	1250	-1728
1	1314	-1728
1	-94	-1664
1	-30	-1664
1	34	-1664
1	98	-1664
1	162	-1664
1	226	-1664
1	290	-1664
1	354	-1664
1	418	-1664
1	482	-1664
1	546	-1664
1	610	-1664
1	674	-1664
1	738	-1664
1	802	-1664
1	866	-1664
1	930	-1664
1	994	-1664
1	1058	-1664
1	1122	-1664
1	1186	-1664
1	1250	-1664
1	1314	-1664
1	-94	-1600
1	-30	-1600
1	34	-1600
1	98	-1600
1	162	-1600
1	226	-1600
1	290	-1600
1	354	-1600
1	418	-1600
1	482	-1600
1	546	-1600
1	610	-1600
1	674	-1600
1	738	-1600
1	802	-1600
1	866	-1600
1	930	-1600
1	994	-1600
1	1058	-1600
1	1122	-1600
1	1186	-1600
1	1250	-1600
1	1314	-1600
1	-94	-1536
1	-30	-1536
1	34	-1536
1	98	-1536
1	162	-1536
1	226	-1536
1	290	-1536
1	354	-1536
1	418	-1536
1	482	-1536
1	546	-1536
1	610	-1536
1	674	-1536
1	738	-1536
1	802	-1536
1	866	-1536
1	930	-1536
1	994	-1536
1	1058	-1536
1	1122	-1536
1	1186	-1536
1	1250	-1536
1	1314	-1536
1	-94	-1472
1	-30	-1472
1	34	-1472
1	98	-1472
1	162	-1472
1	226	-1472
1	290	-1472
1	354	-1472
1	418	-1472
1	482	-1472
1	546	-1472
1	610	-1472
1	674	-1472
1	738	-1472
1	802	-1472
1	866	-1472
1	930	-1472
1	994	-1472
1	1058	-1472
1	1122	-1472
1	1186	-1472
